ZONE_,STATION,LINE,TYPE,STATE,KEY_,LABEL,LAT,LONG
5,Woodbourne,West Trenton Line,SEPTA Regional Rail,PA,SR3WBN,Woodbourne,40.19088551480,-74.89095216910
5,Yardley,West Trenton Line,SEPTA Regional Rail,PA,SR3YDY,Yardley,40.23510917410,-74.83097682220
5,Levittown,Trenton Line,SEPTA Regional Rail,PA,SR7LVN,Levittown,40.13954501470,-74.81766996390
4,Bristol,Trenton Line,SEPTA Regional Rail,PA,SR7BST,Bristol,40.10482829730,-74.85488003440
4,Croydon,Trenton Line,SEPTA Regional Rail,PA,SR7CDN,Croydon,40.09365342330,-74.90680467760
4,Eddington,Trenton Line,SEPTA Regional Rail,PA,SR7EDN,Eddington,40.08308498590,-74.93349092350
3,Cornwells Heights,Trenton Line,SEPTA Regional Rail,PA,SR7CWH,Cornwells Heights,40.07183544330,-74.95180346870
na,City Hall,PATCO,PATCO,NJ,PHSCTY,City Hall,39.94594892160,-75.12240389420
na,Broadway,PATCO,PATCO,NJ,PHSBWY,Broadway,39.94348108050,-75.11888429500
na,Ferry Avenue,PATCO,PATCO,NJ,PHSFRY,Ferry Avenue,39.92248709200,-75.09120808760
na,Cherry Hill,NJ Transit,NJ Transit,NJ,NACCHH,Cherry Hill,39.92512139770,-75.04128364250
na,Collingswood,PATCO,PATCO,NJ,PHSCWD,Collingswood,39.91354042400,-75.06449394500
na,Westmont,PATCO,PATCO,NJ,PHSWMT,Westmont,39.90712616580,-75.04671517220
na,Haddonfield,PATCO,PATCO,NJ,PHSHFD,Haddonfield,39.89739650460,-75.03685284120
na,Woodcrest,PATCO,PATCO,NJ,PHSWCT,Woodcrest,39.87017921030,-75.01121649020
na,Ashland,PATCO,PATCO,NJ,PHSASH,Ashland,39.85870213190,-75.00918546230
na,Lindenwold,PATCO,PATCO,NJ,PHSLWD,Lindenwold,39.83386529020,-75.00055266800
na,Atco,NJ Transit,NJ Transit,NJ,NACATC,Atco,39.78360062520,-74.90777506310
5,Thorndale,Paoli/Thorndale Line,SEPTA Regional Rail,PA,SR5THD,Thorndale,39.99294420710,-75.76294620660
5,Downingtown,Paoli/Thorndale Line,SEPTA Regional Rail,PA,SR5DTN,Downingtown,40.00213025370,-75.71072322830
5,Whitford,Paoli/Thorndale Line,SEPTA Regional Rail,PA,SR5WTF,Whitford,40.01461351510,-75.63843766170
5,Exton,Paoli/Thorndale Line,SEPTA Regional Rail,PA,SR5EXN,Exton,40.01934025400,-75.62171721040
5,Malvern,Paoli/Thorndale Line,SEPTA Regional Rail,PA,SR5MVN,Malvern,40.03638032850,-75.51554332700
4,Paoli,Paoli/Thorndale Line,SEPTA Regional Rail,PA,SR5PAO,Paoli,40.04287237250,-75.48381249720
4,Daylesford,Paoli/Thorndale Line,SEPTA Regional Rail,PA,SR5DYL,Daylesford,40.04284952820,-75.46060585640
4,Berwyn,Paoli/Thorndale Line,SEPTA Regional Rail,PA,SR5BWN,Berwyn,40.04800618620,-75.44241045630
4,Devon,Paoli/Thorndale Line,SEPTA Regional Rail,PA,SR5DVN,Devon,40.04728894240,-75.42285930580
3,Strafford,Paoli/Thorndale Line,SEPTA Regional Rail,PA,SR5STF,Strafford,40.04959817510,-75.40375079330
3,Wayne,Paoli/Thorndale Line,SEPTA Regional Rail,PA,SR5WAY,Wayne,40.04574255500,-75.38728331850
3,St. Davids,Paoli/Thorndale Line,SEPTA Regional Rail,PA,SR5STD,St. Davids,40.04401070740,-75.37344820710
3,Radnor,Paoli/Thorndale Line,SEPTA Regional Rail,PA,SR5RNR,Radnor,40.04476036590,-75.35957405700
3,Villanova,Paoli/Thorndale Line,SEPTA Regional Rail,PA,SR5VIL,Villanova,40.03872633880,-75.34224805170
na,Radnor,Norristown High Speed Line,Rapid Transit,PA,S00RNR,Radnor,40.04206916190,-75.35359211810
na,Villanova,Norristown High Speed Line,Rapid Transit,PA,S00VIL,Villanova,40.03404382600,-75.34394065360
na,Stadium (Ithan Avenue),Norristown High Speed Line,Rapid Transit,PA,S00SDM,Stadium,40.03268430410,-75.34077531390
na,Garrett Hill,Norristown High Speed Line,Rapid Transit,PA,S00GHL,Garrett Hill,40.02778669570,-75.33622445310
na,Roberts Road,Norristown High Speed Line,Rapid Transit,PA,S00RMT,Roberts Road,40.02142297050,-75.33030547470
na,Bryn Mawr,Norristown High Speed Line,Rapid Transit,PA,S00BMR,Bryn Mawr,40.01802910310,-75.32337005750
na,Haverford,Norristown High Speed Line,Rapid Transit,PA,S00HVD,Haverford,40.01005835750,-75.31531451460
na,Ardmore Avenue,Norristown High Speed Line,Rapid Transit,PA,S00ARD,Ardmore Avenue,39.99996077520,-75.30948131250
na,Ardmore Junction,Norristown High Speed Line,Rapid Transit,PA,S00AJN,Ardmore Junction,39.99616320060,-75.30352997250
na,Wynnewood Road,Norristown High Speed Line,Rapid Transit,PA,S00WYN,Wynnewood Road,39.99344134490,-75.29833903630
2,Folcroft,Wilmington/Newark Line,SEPTA Regional Rail,PA,SR2FCT,Folcroft,39.90043874260,-75.27983605260
2,Primos,Media/Elwyn Line,SEPTA Regional Rail,PA,SR3PRM,Primos,39.92175519710,-75.29820559940
na,56th Street,Market/Frankford Line,Subway-Elavated,PA,SMF56S,56th,39.96096675460,-75.23278442070
na,60th Street,Market/Frankford Line,Subway-Elavated,PA,SMF60S,60th,39.96194348860,-75.24069137840
na,63rd Street,Market/Frankford Line,Subway-Elavated,PA,SMF63S,63rd,39.96270363300,-75.24668986780
1,Angora,Media/Elwyn Line,SEPTA Regional Rail,PA,SR3ANG,Angora,39.94485781590,-75.23832979810
1,49th Street,Media/Elwyn Line,SEPTA Regional Rail,PA,SR349S,49th Street,39.94361687380,-75.21649208330
5,Airport Terminal A,Airport Line,SEPTA Regional Rail,PA,SR1AIR,Airport Terminal A,39.87599390130,-75.24673064840
5,Airport Terminal B,Airport Line,SEPTA Regional Rail,PA,SR1AIR,Airport Terminal B,39.87640911500,-75.24463678840
5,Airport Terminal C & D,Airport Line,SEPTA Regional Rail,PA,SR1AIR,Airport Terminal C & D,39.87728094740,-75.24170988340
5,Airport Terminal E,Airport Line,SEPTA Regional Rail,PA,SR1AIR,Airport Terminal E,39.87901017500,-75.24008566990
na,AT&T Station,Broad Street Line,Subway,PA,SBSPAT,AT&T,39.90564263140,-75.17349041600
na,Oregon,Broad Street Line,Subway,PA,SBSORE,Oregon,39.91681816210,-75.17134960420
na,Snyder,Broad Street Line,Subway,PA,SBSSNY,Snyder,39.92436606130,-75.16972623980
na,Tasker-Morris,Broad Street Line,Subway,PA,SBSTAS,Tasker-Morris,39.92976541830,-75.16854316320
na,Ellsworth-Federal,Broad Street Line,Subway,PA,SBSELS,Ellsworth-Federal,39.93616715760,-75.16714323540
na,Lombard-South,Broad Street Line,Subway,PA,SBSLOM,Lombard-South,39.94374968880,-75.16547786770
na,Race-Vine,Broad Street Line,Subway,PA,SBSRCV,Race-Vine,39.95722601320,-75.16248645660
na,Spring Garden,Broad Street Line,Subway,PA,SBSSPG,Spring Garden,39.96242202470,-75.16141360760
na,Fairmount,Broad Street Line,Subway,PA,SBSFMT,Fairmount,39.96653728680,-75.16045858950
na,Girard,Broad Street Line,Subway,PA,SBSGIR,Girard,39.97143592800,-75.15946903520
na,Cecil B. Moore,Broad Street Line,Subway,PA,SBSCBM,Cecil B. Moore,39.97694393680,-75.15827433360
na,Susquehanna-Dauphin,Broad Street Line,Subway,PA,SBSSQD,Susquehanna-Dauphin,39.98840891720,-75.15575967950
na,North Philadelphia,Broad Street Line,Subway,PA,SBSNPH,North Philadelphia,39.99641531630,-75.15399531040
C,North Philadelphia,SEPTA Main Line,SEPTA Regional Rail,PA,SR7NPH,North Philadelphia,39.99722799960,-75.15526776830
C,North Broad,SEPTA Main Line,SEPTA Regional Rail,PA,SR5NBD,North Broad,39.99395668660,-75.15455660470
na,Allegheny,Broad Street Line,Subway,PA,SBSAGY,Allegheny,40.00318991570,-75.15252579770
na,Erie,Broad Street Line,Subway,PA,SBSERI,Erie,40.00931597310,-75.15116452490
na,Hunting Park,Broad Street Line,Subway,PA,SBSHUN,Hunting Park,40.01777166410,-75.14934347420
na,Wyoming,Broad Street Line,Subway,PA,SBSWYO,Wyoming,40.02454766840,-75.14786006770
na,Olney Transportation Ctr.,Broad Street Line,Subway,PA,SBSOLN,Olney Trans. Ctr.,40.03881935950,-75.14470639880
na,Fern Rock Transportation Ctr.,Broad Street Line,Subway,PA,SBSFER,Fern Rock Trans. Ctr.,40.04183621420,-75.13681913050
1,Fern Rock Transportation Ctr.,SEPTA Main Line,SEPTA Regional Rail,PA,SR1FRT,Fern Rock Trans. Ctr.,40.04101591800,-75.13480019250
2,Cheltenham,Fox Chase Line,SEPTA Regional Rail,PA,SR8CHM,Cheltenham,40.05749165450,-75.09303106130
2,Ryers,Fox Chase Line,SEPTA Regional Rail,PA,SR8RYR,Ryers,40.06367318970,-75.08675374030
2,Fox Chase,Fox Chase Line,SEPTA Regional Rail,PA,SR8FCS,Fox Chase,40.07635744320,-75.08330545200
1,Olney,Fox Chase Line,SEPTA Regional Rail,PA,SR8ONY,Olney,40.03276406180,-75.12365104670
1,Wister,Chestnut Hill East Line,SEPTA Regional Rail,PA,SR7WTR,Wister,40.03613833110,-75.16157865540
1,Germantown,Chestnut Hill East Line,SEPTA Regional Rail,PA,SR7GTN,Germantown,40.03787888940,-75.17186193690
2,Washington Lane,Chestnut Hill East Line,SEPTA Regional Rail,PA,SR7WSH,Washington Lane,40.05109695710,-75.17165484290
2,Stenton,Chestnut Hill East Line,SEPTA Regional Rail,PA,SR7STN,Stenton,40.06049717000,-75.17883729270
2,Sedgwick,Chestnut Hill East Line,SEPTA Regional Rail,PA,SR7SWK,Sedgwick,40.06279341010,-75.18521115200
2,Mount Airy,Chestnut Hill East Line,SEPTA Regional Rail,PA,SR7MAY,Mount Airy,40.06522593920,-75.19111757980
2,Wyndmoor,Chestnut Hill East Line,SEPTA Regional Rail,PA,SR7WMR,Wyndmoor,40.07348169290,-75.19690059420
2,Gravers Lane,Chestnut Hill East Line,SEPTA Regional Rail,PA,SR7GRV,Gravers Lane,40.07742055550,-75.20189900150
2,Chestnut Hill East,Chestnut Hill East Line,SEPTA Regional Rail,PA,SR7CHE,Chestnut Hill East,40.08096872430,-75.20730904380
2,Chestnut Hill West,Chestnut Hill West Line,SEPTA Regional Rail,PA,SR8CHW,Chestnut Hill West,40.07679751910,-75.20793954930
2,Highland,Chestnut Hill West Line,SEPTA Regional Rail,PA,SR8HLD,Highland,40.07029290300,-75.21115873670
2,St. Martins,Chestnut Hill West Line,SEPTA Regional Rail,PA,SR8STM,St. Martins,40.06577294190,-75.20457894150
2,Allen Lane,Chestnut Hill West Line,SEPTA Regional Rail,PA,SR8ALN,Allen Lane,40.05746205210,-75.19482261460
2,Carpenter Lane,Chestnut Hill West Line,SEPTA Regional Rail,PA,SR8CAR,Carpenter Lane,40.05091928270,-75.19168393490
2,Upsal,Chestnut Hill West Line,SEPTA Regional Rail,PA,SR8UPS,Upsal,40.04240673720,-75.19011135190
2,Tulpehocken,Chestnut Hill West Line,SEPTA Regional Rail,PA,SR8TKN,Tulpehocken,40.03514155860,-75.18689319700
1,Chelten Avenue,Chestnut Hill West Line,SEPTA Regional Rail,PA,SR8CHE,Chelten Avenue,40.02997365610,-75.18125011810
1,Queen Lane,Chestnut Hill West Line,SEPTA Regional Rail,PA,SR8QLN,Queen Lane,40.02326208750,-75.17799356280
1,Allegheny,Manayunk/Norristown Line,SEPTA Regional Rail,PA,SR6ALG,Allegheny,40.00379025720,-75.16538557330
1,East Falls,Manayunk/Norristown Line,SEPTA Regional Rail,PA,SR6EFL,East Falls,40.01135292210,-75.19207942910
2,Wissahickon,Manayunk/Norristown Line,SEPTA Regional Rail,PA,SR6WTC,Wissahickon,40.01658834800,-75.21017438730
2,Manayunk,Manayunk/Norristown Line,SEPTA Regional Rail,PA,SR6MYK,Manayunk,40.02676803050,-75.22475824660
2,Ivy Ridge,Manayunk/Norristown Line,SEPTA Regional Rail,PA,SR6IRG,Ivy Ridge,40.03412761370,-75.23542184350
na,36th Street,RiverLine,Light Rail Transit,NJ,NRL036,36th Street,39.96127747420,-75.07914817170
na,Walter Rand Transportation Center,RiverLine,Light Rail Transit,NJ,NRLWRT,Walter Rand Trans. Ctr.,39.94313294430,-75.12034490710
na,Cooper Street/Rutgers University,RiverLine,Light Rail Transit,NJ,NRLRUT,Cooper Street/Rutgers University,39.94759303480,-75.12408229840
na,Aquarium,RiverLine,Light Rail Transit,NJ,NRLAQU,Aquarium,39.94561756580,-75.12864138210
na,Entertainment Center,RiverLine,Light Rail Transit,NJ,NRLENT,Entertainment Center,39.94090009280,-75.12842969350
na,Saxer Avenue,Route 101 Trolley,Surface Trolley,PA,S01SAX,Saxer Avenue,39.92873895080,-75.33354829840
,8th & Market Streets,PATCO,PATCO,PA,PHS8MK,8th & Market Streets,39.95093718000,-75.15356084270
3,Elm Street,Manayunk/Norristown Line,SEPTA Regional Rail,PA,SR6ESN,Elm Street,40.12160650580,-75.34452691310
na,Norristown TC,Norristown High Speed Line,Rapid Transit,PA,SR6NTC,Norristown Trans. Ctr.,40.11329526030,-75.34528145350
na,Bridgeport,Norristown High Speed Line,Rapid Transit,PA,S00BPT,Bridgeport,40.10487935670,-75.34820925990
na,DeKalb Street,Norristown High Speed Line,Rapid Transit,PA,S00KMR,DeKalb Street,40.09884857500,-75.35204949780
1,Wayne Junction,SEPTA Main Line,SEPTA Regional Rail,PA,SCCWJN,Wayne Junction,40.02250000700,-75.16003995660
1,Wynnefield Avenue,Cynwyd Line,SEPTA Regional Rail,PA,SR6WFD,Wynnefield Avenue,39.99029072900,-75.22568613810
2,Overbrook,Paoli/Thorndale Line,SEPTA Regional Rail,PA,SR5OVR,Overbrook,39.98985205020,-75.24996443530
2,Lawndale,Fox Chase Line,SEPTA Regional Rail,PA,SR8LWN,Lawndale,40.05139465330,-75.10342401900
C,Temple University,SEPTA Main Line,SEPTA Regional Rail,PA,SCCTEM,Temple University,39.98165072170,-75.14943171510
2,Eastwick,Airport Line,SEPTA Regional Rail,PA,SR1EWK,Eastwick,39.89167828170,-75.24504467550
C,University City,SEPTA Main Line,SEPTA Regional Rail,PA,SR1UNI,University City,39.94782901400,-75.19032549390
na,Logan,Broad Street Line,Subway,PA,SBSLOG,Logan,40.02978140170,-75.14670413000
na,Lindenwold,NJ Transit,NJ Transit,NJ,PHSLWD,Lindenwold,39.83349462930,-75.00006414880
na,Orange Street,Route 101 Trolley,Surface Trolley,PA,S01ORG,Orange Street,39.91841248200,-75.39300843340
na,Veterans Square,Route 101 Trolley,Surface Trolley,PA,S01VET,Veterans Square,39.91827659130,-75.39204941020
na,Bowling Green,Route 101 Trolley,Surface Trolley,PA,S01BGN,Bowling Green,39.91671215920,-75.38071680920
na,Manchester Avenue,Route 101 Trolley,Surface Trolley,PA,S01MCR,Manchester Avenue,39.91700871500,-75.38284845950
na,Edgmont Street,Route 101 Trolley,Surface Trolley,PA,S01EDG,Edgmont,39.91738735290,-75.38564314130
na,Monroe Street,Route 101 Trolley,Surface Trolley,PA,S01MRO,Monroe Street,39.91765910550,-75.38759966260
na,Jackson Street,Route 101 Trolley,Surface Trolley,PA,S01JCK,Jackson Street,39.91791854360,-75.38944623400
na,Olive Street,Route 101 Trolley,Surface Trolley,PA,S01OLV,Olive Street,39.91814494350,-75.39107946020
na,Hamilton,NJ Transit,NJ Transit,NJ,NNCHMN,Hamilton,40.25526857020,-74.70393704550
na,Trenton,RiverLine,Light Rail Transit,NJ,NRLTTN,Trenton,40.21838878920,-74.75510321000
na,Hamilton Avenue,RiverLine,Light Rail Transit,NJ,NRLHMT,Hamilton Avenue,40.21194173330,-74.75572743020
na,Cass Street,RiverLine,Light Rail Transit,NJ,NRLCST,Cass Street,40.20543377250,-74.75423928940
na,Bordentown,RiverLine,Light Rail Transit,NJ,NRLBOR,Bordentown,40.14820020550,-74.71622201770
na,Roebling,RiverLine,Light Rail Transit,NJ,NRLROE,Roebling,40.11694271130,-74.77022791060
na,Florence,RiverLine,Light Rail Transit,NJ,NRLFLO,Florence,40.09997932480,-74.80503778760
na,Burlington Town Centre,RiverLine,Light Rail Transit,NJ,NRLBUR,Burlington Town Centre,40.07732965730,-74.85942415860
na,Burlington South,RiverLine,Light Rail Transit,NJ,NRLBSO,Burlington South,40.07451689780,-74.86896316150
na,Beverly/Edgewater Park,RiverLine,Light Rail Transit,NJ,NRLBEP,Beverly/Edgewater Park,40.06114693620,-74.91516732650
na,Delanco,RiverLine,Light Rail Transit,NJ,NRLDCO,Delanco,40.04812181870,-74.95040125390
na,Riverside,RiverLine,Light Rail Transit,NJ,NRLRSD,Riverside,40.03919847710,-74.95882253780
na,Cinnaminson,RiverLine,Light Rail Transit,NJ,NRLCIN,Cinnaminson,40.01659778900,-74.99996485200
na,Riverton,RiverLine,Light Rail Transit,NJ,NRLRTN,Riverton,40.00892269030,-75.01307532930
na,Palmyra,RiverLine,Light Rail Transit,NJ,NRLPAL,Palmyra,40.00421021040,-75.02110238370
na,Pennsauken/ Route 73,RiverLine,Light Rail Transit,NJ,NRLP73,Pennsauken/ Route 73,39.99338137010,-75.03904243850
na,Church,Market/Frankford Line,Subway-Elavated,PA,SMFCCH,Church,40.01046459120,-75.08904314460
na,Erie-Torresdale,Market/Frankford Line,Subway-Elavated,PA,SMFERT,Erie-Torresdale,40.00594988380,-75.09612760390
na,Tioga,Market/Frankford Line,Subway-Elavated,PA,SMFTIO,Tioga,40.00035403540,-75.10636508370
na,Allegheny,Market/Frankford Line,Subway-Elavated,PA,SMFAGY,Allegheny,39.99648047130,-75.11342485850
na,Somerset,Market/Frankford Line,Subway-Elavated,PA,SMFSOM,Somerset,39.99161560140,-75.12227201080
na,Huntingdon,Market/Frankford Line,Subway-Elavated,PA,SMFHUN,Huntingdon,39.98878426790,-75.12745141520
na,York-Dauphin,Market/Frankford Line,Subway-Elavated,PA,SMFYOR,York-Dauphin,39.98529599330,-75.13205408310
na,Berks,Market/Frankford Line,Subway-Elavated,PA,SMFBER,Berks,39.97853540880,-75.13350314260
na,Girard,Market/Frankford Line,Subway-Elavated,PA,SMFGIR,Girard,39.96891472510,-75.13623019480
na,Spring Garden,Market/Frankford Line,Subway-Elavated,PA,SMFSPG,Spring Garden,39.96053015670,-75.14040508990
na,2nd Street,Market/Frankford Line,Subway-Elavated,PA,SMF2ND,2nd,39.94991133170,-75.14366002570
na,5th Street,Market/Frankford Line,Subway-Elavated,PA,SMF5TH,5th,39.95052980340,-75.14892829170
na,8th Street,Market/Frankford Line,Subway-Elavated,PA,SMF8TH,8th,39.95111428380,-75.15360230910
na,Chinatown Station,Broad-Ridge Spur,Subway,PA,,Chinatown,39.95547664890,-75.15299536000
na,69th Street Transportation Center,Norristown High Speed Line,Rapid Transit,PA,SMF69S,69th Street Trans. Ctr.,39.96275938430,-75.25940987340
